en-us,en-rUS,English(US)
ar,ar,Arabic
zh-cn,zh-rCN,Chinese(Simplified)
zh-tw,zh-rTW,Chinese(Traditional)
nl,nl,Dutch
fr,fr,French
de,de,German
he,he,Hebrew
id,id,Indonesian
it,it,Italian
ko,ko,Korean
pt-br,pt-rBR,Portuguese(Brazil)
es,es,Spanish
tr,tr,Turkish
ru,ru,Russian
sv,sv,Swedish
ja,ja,Japanese
cy,cy,Welsh
tr,tr,Turkish
